;ISBN 13;Book title
114;9781400032495;New Hope for the Dead (Hoke Mosely #2)
115;9781400032488;Sideswipe: A Hoke Moseley Novel
116;9781400032464;Miami Blues (Hoke Moseley #1)
117;9780679732525;The Burnt Orange Heresy (Vintage Crime/Black Lizard)
118;9780312424442;I am Charlotte Simmons
119;9780806930770;Poetry for Young People: Edward Lear
120;9780140366600;The Puffin Book of Nonsense Verse
121;9780811201124;Henry Miller on Writing
122;9780802130167;Quiet Days in Clichy
123;9780802131782;Tropic of Cancer
124;9780802151827;Tropic of Capricorn
125;9780802151780;Nexus (The Rosy Crucifixion  #3)
126;9780802151803;Sexus (The Rosy Crucifixion  #1)
127;9780811201063;The Air-Conditioned Nightmare
128;9780141439631;The Portrait of a Lady
129;9781593080969;The Portrait of a Lady
130;9781571290533;Writing
131;9781565842212;The War
132;9780394743042;The Ravishing of Lol Stein
133;9781851681822;Love Letters
134;9781566562492;Kahlil Gibran: His Life and World
135;9780140195538;The Beloved: Reflections on the Path of the Heart
136;9780394431246;Jesus the Son of Man
137;9780806501901;The Broken Wings
138;9780679439202;Sand and Foam
139;9780753453803;Treasure Island
140;9781402714573;Treasure Island
141;9781416500292;Treasure Island
142;9780689854682;Treasure Island
143;9780517221143;Treasure Island
144;9781577658054;Treasure Island (Great Illustrated Classics)
145;9780933121188;100 Years of Lynchings
146;9780785950103;Cien años de soledad
147;9780394800844;On Beyond Zebra!
148;9780821778258;The Wedding Clause
149;9780060733032;The Zebra Wall
150;9788432216060;El perfume: Historia de un asesino
151;9780345413994;The Door Into Summer
152;9780441788385;Stranger in a Strange Land
153;9780441748600;To Sail Beyond the Sunset
154;9780345316509;Job: A Comedy of Justice
155;9780765314932;Time for the Stars (Heinlein's Juveniles  #10)
156;9780671742515;The Long Dark Tea-Time of the Soul (Dirk Gently  #2)
157;9780345455291;The Salmon of Doubt (Dirk Gently  #3)
158;9780345476517;Wish You Were Here: The Official Biography of Douglas Adams
159;9780345368430;Douglas Adams's Starship Titanic
